,author,comment,published_at
0,@GeneLab,"ถึงไม่กล้าไปรักคนอื่นเลย รักใครไม่ไหว
ยังมีแค่เธอ ยังมีเพียงเธอ คนเดียวในหัวใจ",2025-04-08T11:12:49Z
1,@korakrodruenin4452,พอทุกอย่างที่วาดไว้มันพัง ตัวเราจะแตกสลายตามความคาดหวังที่เราวาดไว้ จนไม่กล้าจะเริ่มใหม่ มันไม่ง่ายหรอก,2025-04-30T16:21:01Z
2,@Ketsueki-kata,เพลงนี้ซึ้งมาก😭,2025-04-30T16:07:34Z
3,@เกียรติสมสมเกียรติ,ความรู้สึกตอนนี้เลย😢,2025-04-30T15:41:20Z
4,@Illianoaoi,40+ แล้ว ทำไมยังชอบครับ Three ma down,2025-04-30T15:15:55Z
5,@รัชช์นนท์พุทธสันติธรรม,จังหวะกรีดร้องแนวโตเกียวกูลภาคแรกก โคดดดดดดชอบ,2025-04-30T09:17:55Z
6,@kinggodno1rz683,"สุดท้าย เราก็ต้องกลับมาฟังเพลงนี้้
ผ่านมา เราคุยมา2คน บอกเลิกคุยเขาไป เพราะว่าอะไรเราก็ไม่รู้แค่รู้สึกว่าเรายังไม่ดีพอที่จะไปรักใคร แต่มันก็ยังรักใครไม่ไหวเลย ทั้งที่เราก็ลืมคนเก่าที่คบเคยคบเมื่อ3ปีได้เเล้ว แต่่ทำไมตัวของเราถึงไม่กล้าไปรักใครเลย? อาจจะเพราะเจ็บปวดกับความสัมพันธ์ครั้งนั้นมาเลยไม่กล้ารักใคร",2025-04-30T07:09:41Z
7,@tanakritimsanam9384,😖,2025-04-30T06:10:15Z
8,@lxrnoy2816,ເປັນເພງທີ່ເຮັດໃຫ້ກັບມາຟັງ ທຣີແມນດາວ ອີກຄັ້ງ,2025-04-30T04:53:15Z
9,@seouljazzsalon,"🎸 Three Man Down กับ Tilly Birds — สองวงที่มีสไตล์ต่างกันแต่ต่างก็ครองใจแฟนเพลง 🎤🔥
ถ้าได้ร่วมงานกัน คงเป็นการปะทะทางดนตรีที่น่าจดจำ! 💥✨
รอคอยการคอลแลปส์ที่อาจเปลี่ยนประวัติศาสตร์ดนตรีไทย! 🇹🇭🎶",2025-04-30T04:36:55Z
10,@oporkizz5428,จริงจัง,2025-04-30T03:13:08Z
11,@OCCZAnime_H,🌻,2025-04-30T00:01:19Z
12,@saviorpeet2931,"เรื่องนี้สอนให้รู้ว่าทีมไม่ต้องการผู้หญิง เรื่องจริงเวลาคุณเล่นเกม 
(เฉพาะทีมชายบางทีมนะ พวกแยกแยะไม่ได้อะ5555)",2025-04-29T22:11:37Z
13,@New.m86,5ปีแล้วยังอยู่ที่เดิมส่วนเขามีใหม่ไปแล้ว😅,2025-04-29T19:06:26Z
14,@Valenkamenrider2024,กระแทบได้ใจ จริงๆครับ,2025-04-29T18:39:06Z
15,@phirapatsukraksa2936,สุดๆเพลงนี้,2025-04-29T16:55:02Z
16,@ขจรศักดิ์-ฆ1ม,👍👍,2025-04-29T14:26:34Z
17,@chaiyaputpuengtian4998,รอชมภาคต่อไปครับ,2025-04-29T13:36:49Z
18,@youngbeam8623,ความสัมพันธ์ Suck seed,2025-04-29T13:33:51Z
19,@Warisara9,คิดว่าลืมเธอได้แล้ว เราจบกันไปตั้งนานแล้ว แต่เราไม่เคยลืมเรื่องของเธอได้สักเรื่อง จำได้ทุกอย่างวันแรกที่เจอกัน วันเกิด สิ่งที่ชอบ สิ่งที่ไม่ชอบ เรายังจำได้ทุกข้อความทุกคำพูดของเธอ เราพูดกับตัวเองว่าลืมได้แล้ว พอเจออะไรสักอย่าง มันก็นึกถึงเธอเอง ทำให้เราแอนตี้ความรัก จนกระทั่งเราได้เริ่มต้นความรักใหม่ กลายเป็นว่า เราชอบคนใหม่ๆแค่ชั่ววูบ ทำให้รู้ว่าเราลืมเธอไม่ได้จริงๆ เราหลอกตัวเองไปวันๆ ทำให้เรากลัวความรัก กลัวการนอกใจกลัวทุกๆเรื่อง เราสภาพจิตใจพังเกือบครึ่งปี เก็บไว้คนเดียวไม่บอกใคร ไม่รู้ว่าตัวเองเป็นไง จนมีคนทักว่า ช่วงนี้ซึมๆนะ เป็นอะไรรึป่าว กินไม่ได้นอนไม่หลับอยู่1-2เดือน แล้วก็เราไม่เคยคบกัน คนคุยไม่ใช่ เพื่อนไม่ใช่ ไม่รู้ว่าเป็นอะไร แต่เราทำกัน เหมือนคนรักกัน ช่างเถอะตอนนี้ เราปลงได้แล้วนะ ไม่ต้องเจอกันอีกแล้ว : ),2025-04-29T13:33:29Z
20,@krittzpn,❤,2025-04-29T13:18:03Z
21,@oatty13,นางเอกเอ็มวีน่ารักครับ,2025-04-29T10:27:20Z
22,@sunflowednesday,"นับต่อจากนี้ ไม่รู้ว่าอีกนานแค่ไหน
กว่าที่ฉัน จะกล้าไปเริ่มใหม่😢",2025-04-29T02:02:09Z
23,@Blacktrader100,คลาสสิค แย่ง ผญ ในวง5555,2025-04-29T01:21:15Z
24,@duangpornsaoro7522,ก็แค่พื้นที่ตรงนั้นไม่ใช่เรา ทั้งที่เป็นเราคิดเองตลอดว่าที่ตรงนั้นเป็นของเรา,2025-04-28T21:04:11Z
25,@p3scful,พังง,2025-04-28T17:43:15Z
